HEADER
VTF File Version,1.1
VTF File Type,0
PID,3583827
Generated on,2026-02-20 01:52:26
Resolution,ms
Min Resolution,ns
Trace Version,1.1
TraceID,3583830

STRUCTURE
Group_Start,User and Internal Events
Dynamic_Row,1,General,User Events from APIs and Internally Generated Events
Group_End,User and Internal Events

MAPPING
327,0:13:94222359072736
873,0:13:94222360268752
1836,0:13:94222360469456
203,0:13:94222360965088
233,0:13:94222361120736
1722,0:13:94222361239504
202,0:13:94222361366496
342,0:13:94222361988432
167,0:13:94222362968032
127,0:13:94222363398112
518,0:13:94222363499600
223,0:13:94222363525088
1856,0:13:94222364336080
562,0:13:94222364674384
132,0:13:94222365011936
1865,0:13:94222365036496
157,0:13:94222365392864
616,0:13:94222365591424
522,0:13:94222365649120
107,0:13:94222366023648
532,0:13:94222366618800
661,0:13:94222367665296
658,0:13:94222367693168
659,0:13:94222367720816
660,0:13:94222367748400
668,0:13:94222369596000
663,0:13:94222369622736
665,0:13:94222369800096
667,0:13:94222369827392
666,0:13:94222369854880
673,0:13:94222369855280
670,0:13:94222369909680
669,0:13:94222369950992
671,0:13:94222370045712
672,0:13:94222370060144
674,0:13:94222370073376
677,0:13:94222370142192
675,0:13:94222370264448
676,0:13:94222370305216
678,0:13:94222370512368
679,0:13:94222370757232
680,0:13:94222370785280
681,0:13:94222370798928
683,0:13:94222371099584
682,0:13:94222371153456
684,0:13:94222371290688
245,0:32:7
266,0:32:94222201416128
832,140678997963904:17:4766786730978836480
929,140678997963904:17:4766843991346511872
962,140678997963904:17:4766849019977269248
1269,140678997963904:17:4766905763838164992
1343,140678997963904:17:4766922719510265856
1426,140678997963904:17:4766941702610223104
1656,140678997963904:17:4766988473648545792
1791,140678997963904:17:4767016894539104256
1841,140678997963904:17:4767035542018195456
20,140733384686544:140679007616238:0
686,16:140679003970688:0
488,16:140679003970688:140733385381898
37,16:140679005966610:1771570336
321,16:140679005966610:1771570337
398,16:140679005966610:1771570338
483,16:140679005966610:1771570339
486,16:140679005966610:1771570340
489,16:140679005966610:1771570341
549,16:140679005966610:1771570342
688,16:140679005966610:1771570343
850,16:140679005966610:1771570344
1411,16:140679005966610:1771570345
1994,16:140679005966610:1771570346
257,17179869185:48:0
485,17179869185:48:4766293674326753280
512,17179869185:48:4766515463297826816
776,17179869200:140679003970688:0
687,17179869200:48:0
752,17179869200:48:13
1655,17179869200:48:140679003970784
736,17179869200:48:4766714131458555904
785,17179869200:48:4766730756550033408
786,17179869200:48:4766730859872387072
808,17179869200:48:4766756783696773120
815,17179869200:48:4766762082518302720
819,17179869200:48:4766774008868110336
825,17179869200:48:4766778431363350528
826,17179869200:48:4766779764428111872
845,17179869200:48:4766801186248065024
862,17179869200:48:4766813245578280960
869,17179869200:48:4766816582464438272
888,17179869200:48:4766837747863388160
1055,17179869200:48:4766861260714016768
1074,17179869200:48:4766865576235499520
1113,17179869200:48:4766873486626914304
1137,17179869200:48:4766879520387629056
1159,17179869200:48:4766883617255456768
1388,17179869200:48:4766933866493247488
1421,17179869200:48:4766940424690597888
1548,17179869200:48:4766964367786639360
1553,17179869200:48:4766965883222360064
1567,17179869200:48:4766968887095590912
1692,17179869200:48:4766995572207255552
1940,17179869200:48:4767059384193253376
2046,17179869200:48:4767081327349465088
2055,17179869200:48:4767084364729286656
31,17:140679005821324:4765784638715592704
64,17:140679005821324:4765798694886178816
163,17:140679005821324:4765840057614336000
