Iteration,Total_Wall_ms,HW_Write_ms,HW_Compute_ms,HW_Read_ms,SW_Overhead_ms
361,0.317981,0.030182,0.132976,0.040732,0.114091
362,0.31617,0.026577,0.186552,0.020522,0.082519
363,0.587164,0.029696,0.398146,0.037554,0.121768
364,0.255731,0.028393,0.128778,0.020093,0.078467
365,0.477036,0.027672,0.297155,0.038511,0.113698
366,0.46398,0.023296,0.343401,0.022147,0.075136
367,0.294585,0.025884,0.11158,0.037273,0.119848
368,0.376361,0.057753,0.219065,0.021835,0.077708
369,0.553499,0.027187,0.345246,0.06204,0.119026
370,0.359587,0.036806,0.22861,0.0216,0.072571
371,0.394247,0.059153,0.177015,0.039591,0.118488
372,0.241636,0.02604,0.11084,0.019645,0.085111
373,0.371273,0.029062,0.191163,0.037609,0.113439
374,0.284267,0.026932,0.15926,0.021786,0.076289
375,0.456907,0.030342,0.2607,0.037814,0.128051
376,0.33397,0.026015,0.200274,0.019733,0.087948
377,0.325459,0.031998,0.139752,0.037438,0.116271
378,0.215201,0.022855,0.097519,0.019624,0.075203
379,0.324435,0.027332,0.170078,0.036491,0.090534
380,0.369711,0.025796,0.23887,0.019511,0.085534
381,0.372394,0.027637,0.188238,0.037338,0.119181
382,0.244846,0.025213,0.102569,0.022075,0.094989
383,0.37152,0.025818,0.195446,0.037531,0.112725
384,0.206038,0.027147,0.078594,0.021695,0.078602
385,0.322221,0.02778,0.145147,0.037531,0.111763
386,0.223572,0.024415,0.095082,0.021768,0.082307
387,0.357551,0.028654,0.172104,0.03748,0.119313
388,0.330544,0.024884,0.188001,0.019858,0.097801
389,0.260316,0.03095,0.073595,0.037589,0.118182
390,0.234956,0.025709,0.102797,0.023091,0.083359
391,0.357758,0.027393,0.169591,0.037714,0.12306
392,0.24532,0.024512,0.107914,0.022002,0.090892
393,0.38287,0.027097,0.199122,0.037469,0.119182
394,0.250501,0.02502,0.124343,0.022169,0.078969
395,0.353278,0.027088,0.174516,0.037865,0.113809
396,0.291133,0.026269,0.165213,0.024482,0.075169
397,0.719458,0.028553,0.559398,0.037362,0.094145
398,0.293793,0.025383,0.159011,0.022089,0.08731
399,0.292013,0.028902,0.099731,0.044789,0.118591
400,0.293046,0.024731,0.158712,0.0215,0.088103
401,0.347004,0.027083,0.16475,0.037827,0.117344
402,0.317726,0.033903,0.189746,0.02234,0.071737
403,0.301847,0.025132,0.121316,0.037514,0.117885
404,0.24523,0.022335,0.125769,0.021249,0.075877
405,0.3552,0.027452,0.175632,0.037874,0.114242
406,0.353662,0.024844,0.220244,0.020429,0.088145
407,0.354362,0.030481,0.170519,0.037593,0.115769
408,0.334089,0.029126,0.18371,0.032747,0.088506
409,0.471225,0.054751,0.24995,0.037638,0.128886
410,0.277566,0.041758,0.147047,0.022177,0.066584
411,0.47095,0.043966,0.252453,0.037818,0.136713
412,0.521495,0.026413,0.39157,0.019749,0.083763
413,0.345363,0.025822,0.164057,0.037754,0.11773
414,0.370744,0.031336,0.242704,0.022029,0.074675
415,0.330556,0.025438,0.156145,0.038601,0.110372
416,0.244117,0.046096,0.102355,0.021584,0.074082
417,0.391097,0.043338,0.185099,0.037727,0.124933
418,0.445319,0.031607,0.308259,0.023361,0.082092
419,0.676065,0.026021,0.491748,0.037268,0.121028
420,0.460682,0.032209,0.305735,0.047247,0.075491
421,0.277053,0.037025,0.084636,0.037706,0.117686
422,0.311095,0.033651,0.177268,0.023728,0.076448
423,0.484457,0.030503,0.273364,0.062831,0.117759
424,0.378956,0.035233,0.243702,0.023307,0.076714
425,0.394327,0.02865,0.214285,0.038076,0.113316
426,0.280367,0.027098,0.156952,0.019516,0.076801
427,0.449232,0.025105,0.275128,0.037837,0.111162
428,0.29839,0.025447,0.174785,0.019729,0.078429
429,0.336286,0.041698,0.14826,0.03784,0.108488
430,0.24918,0.030024,0.115071,0.019089,0.084996
431,0.273774,0.023994,0.125752,0.037381,0.086647
432,0.259175,0.03359,0.128023,0.025448,0.072114
433,0.28725,0.024449,0.104001,0.037322,0.121478
434,0.23918,0.030457,0.109441,0.021843,0.077439
435,0.310594,0.024933,0.117868,0.037491,0.130302
436,0.274108,0.027387,0.147911,0.022805,0.076005
437,0.315029,0.02638,0.133642,0.037737,0.11727
438,0.535225,0.028392,0.413072,0.022475,0.071286
439,0.305627,0.027146,0.122481,0.037489,0.118511
440,0.27165,0.027717,0.140016,0.022193,0.081724
441,0.468363,0.025007,0.280922,0.037996,0.124438
442,0.33423,0.027402,0.207851,0.019675,0.079302
443,0.282217,0.0221,0.10892,0.037875,0.113322
444,0.34066,0.032356,0.209954,0.022085,0.076265
445,0.77689,0.024826,0.558023,0.069518,0.124523
