Target device: xilinx_u50_gen3x16_xdma_base_5-0
timestamp,12v_aux_curr,12v_aux_vol,12v_pex_curr,12v_pex_vol,vccint_curr,vccint_vol,3v3_pex_curr,3v3_pex_vol,cage_temp0,cage_temp1,cage_temp2,cage_temp3,dimm_temp0,dimm_temp1,dimm_temp2,dimm_temp3,fan_temp,fpga_temp,hbm_temp,se98_temp0,se98_temp1,se98_temp2,vccint_temp,fan_rpm
7631.35,0,0,1425,12012,6800,849,564,3345,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
7675.89,0,0,1425,12012,6800,849,564,3345,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
7720.27,0,0,1425,12012,6800,849,564,3345,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
7764.85,0,0,1425,12012,6800,849,564,3345,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
7809.26,0,0,1425,12012,6800,849,564,3345,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
7853.95,0,0,1425,12012,6800,849,564,3345,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
7898.32,0,0,1425,12012,6800,849,564,3345,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
7942.69,0,0,1425,12012,6800,849,564,3345,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
7987.18,0,0,1425,12012,6800,849,564,3345,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
8031.61,0,0,1425,12012,6800,849,564,3345,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
8076.23,0,0,1425,12012,6800,849,564,3345,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
8120.96,0,0,1425,12012,6800,849,564,3345,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
8165.56,0,0,1425,12012,6800,849,564,3345,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
8210.36,0,0,1425,12012,6800,849,564,3345,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
8255.04,0,0,1425,12012,6800,849,564,3345,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
8299.42,0,0,1425,12012,6800,849,564,3345,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
8343.73,0,0,1425,12012,6800,849,564,3345,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
8389.52,0,0,1425,12012,6800,849,564,3345,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
8433.94,0,0,1425,12012,6800,849,565,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
8479.79,0,0,1425,12012,6800,849,565,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
8524.7,0,0,1425,12012,6800,849,565,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
8569.73,0,0,1425,12012,6800,849,565,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
8614.15,0,0,1425,12012,6800,849,565,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
8658.64,0,0,1425,12012,6800,849,565,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
8703.01,0,0,1425,12012,6800,849,565,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
8747.83,0,0,1425,12012,6800,849,565,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
8792.47,0,0,1425,12012,6800,849,565,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
8836.86,0,0,1425,12012,6800,849,565,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
8881.45,0,0,1425,12012,6800,849,565,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
8925.84,0,0,1425,12012,6800,849,565,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
8970.32,0,0,1425,12012,6800,849,565,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
9014.83,0,0,1425,12012,6800,849,565,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
9059.61,0,0,1425,12012,6800,849,565,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
9104.67,0,0,1425,12012,6800,849,565,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
9149.12,0,0,1425,12012,6800,849,565,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
9193.52,0,0,1425,12012,6800,849,565,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
9238.44,0,0,1425,12012,6800,849,565,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
9283.29,0,0,1425,12012,6800,849,565,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
9327.95,0,0,1425,12012,6800,849,565,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
9372.59,0,0,1425,12012,6800,849,565,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
9418.24,0,0,1425,12012,6800,849,565,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
9462.78,0,0,1424,12012,6800,849,565,3347,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
9508.9,0,0,1424,12012,6800,849,565,3347,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
9553.83,0,0,1424,12012,6800,849,565,3347,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
9598.16,0,0,1424,12012,6800,849,565,3347,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
9642.55,0,0,1424,12012,6800,849,565,3347,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
9687.11,0,0,1424,12012,6800,849,565,3347,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
9731.42,0,0,1424,12012,6800,849,565,3347,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
9775.87,0,0,1424,12012,6800,849,565,3347,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
9820.31,0,0,1424,12012,6800,849,565,3347,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
9864.57,0,0,1424,12012,6800,849,565,3347,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
9908.84,0,0,1424,12012,6800,849,565,3347,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
9953.14,0,0,1424,12012,6800,849,565,3347,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
9997.46,0,0,1424,12012,6800,849,565,3347,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
10042.3,0,0,1424,12012,6800,849,565,3347,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
10086.9,0,0,1424,12012,6800,849,565,3347,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
10131.2,0,0,1424,12012,6800,849,565,3347,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
10175.6,0,0,1424,12012,6800,849,565,3347,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
