backend,sample,N,E,h2d_ms,prep_ms,graph_ms,forward_ms,d2h_ms,compute_ms,transfer_ms,e2e_ms
cpu_eager,303,60,470,0.0,0.077309,0.12936,1.461074,0.0,1.667743,0.0,1.667743
cpu_eager,304,17,44,0.0,0.082336,0.082449,1.032415,0.0,1.1972,0.0,1.1972
cpu_eager,305,37,134,0.0,0.074764,0.099627,1.089299,0.0,1.26369,0.0,1.26369
cpu_eager,306,28,186,0.0,0.074299,0.097038,1.106487,0.0,1.277824,0.0,1.277824
cpu_eager,307,42,226,0.0,0.075577,0.11482,1.137812,0.0,1.328209,0.0,1.328209
cpu_eager,308,16,12,0.0,0.07641,0.079534,1.004174,0.0,1.160118,0.0,1.160118
cpu_eager,309,21,86,0.0,0.073404,0.088847,1.03811,0.0,1.200361,0.0,1.200361
cpu_eager,310,34,338,0.0,0.074069,0.109385,1.148438,0.0,1.331892,0.0,1.331892
cpu_eager,311,31,100,0.0,0.081117,0.096123,1.048315,0.0,1.2255550000000002,0.0,1.2255550000000002
cpu_eager,312,34,194,0.0,0.074756,0.100325,1.097945,0.0,1.273026,0.0,1.273026
cpu_eager,313,59,482,0.0,0.076395,0.130685,1.200509,0.0,1.407589,0.0,1.407589
cpu_eager,314,46,344,0.0,0.082408,0.119816,1.160983,0.0,1.363207,0.0,1.363207
cpu_eager,315,34,190,0.0,0.074508,0.101603,1.101943,0.0,1.278054,0.0,1.278054
cpu_eager,316,77,1344,0.0,0.076869,0.1702,1.436082,0.0,1.683151,0.0,1.683151
cpu_eager,317,31,164,0.0,0.075439,0.098823,1.100111,0.0,1.274373,0.0,1.274373
cpu_eager,318,27,120,0.0,0.074771,0.093785,1.056912,0.0,1.225468,0.0,1.225468
cpu_eager,319,54,584,0.0,0.075982,0.143493,1.265075,0.0,1.48455,0.0,1.48455
cpu_eager,320,28,116,0.0,0.079374,0.09604,1.052149,0.0,1.227563,0.0,1.227563
cpu_eager,321,35,110,0.0,0.073142,0.101069,1.060434,0.0,1.234645,0.0,1.234645
cpu_eager,322,26,124,0.0,0.081293,0.092083,1.042282,0.0,1.215658,0.0,1.215658
cpu_eager,323,25,132,0.0,0.074568,0.090593,1.078073,0.0,1.2432340000000002,0.0,1.2432340000000002
cpu_eager,324,57,288,0.0,0.077264,0.121676,1.1525,0.0,1.3514400000000002,0.0,1.3514400000000002
cpu_eager,325,54,298,0.0,0.075815,0.12922,1.159057,0.0,1.364092,0.0,1.364092
cpu_eager,326,51,276,0.0,0.076391,0.117803,1.239129,0.0,1.433323,0.0,1.433323
cpu_eager,327,38,298,0.0,0.076141,0.111878,1.163264,0.0,1.351283,0.0,1.351283
cpu_eager,328,55,364,0.0,0.077504,0.126569,1.173605,0.0,1.377678,0.0,1.377678
cpu_eager,329,52,508,0.0,0.076688,0.128004,1.210204,0.0,1.4148960000000002,0.0,1.4148960000000002
cpu_eager,330,55,390,0.0,0.085881,0.125126,1.183175,0.0,1.394182,0.0,1.394182
cpu_eager,331,12,20,0.0,0.074138,0.077347,1.022202,0.0,1.1736870000000001,0.0,1.1736870000000001
cpu_eager,332,40,214,0.0,0.075221,0.105185,1.109237,0.0,1.289643,0.0,1.289643
cpu_eager,333,31,118,0.0,0.074151,0.105103,1.065549,0.0,1.244803,0.0,1.244803
cpu_eager,334,43,356,0.0,0.076612,0.114517,1.165507,0.0,1.356636,0.0,1.356636
cpu_eager,335,49,316,0.0,0.077056,0.114525,1.169327,0.0,1.360908,0.0,1.360908
cpu_eager,336,34,226,0.0,0.075243,0.114239,1.135924,0.0,1.3254059999999999,0.0,1.3254059999999999
cpu_eager,337,18,84,0.0,0.079221,0.086867,1.04481,0.0,1.210898,0.0,1.210898
cpu_eager,338,41,316,0.0,0.076252,0.114465,1.161094,0.0,1.351811,0.0,1.351811
cpu_eager,339,31,164,0.0,0.075891,0.110914,1.093933,0.0,1.280738,0.0,1.280738
cpu_eager,340,63,790,0.0,0.075932,0.144736,1.366529,0.0,1.5871970000000002,0.0,1.5871970000000002
cpu_eager,341,35,126,0.0,0.074533,0.097664,1.087786,0.0,1.2599829999999999,0.0,1.2599829999999999
cpu_eager,342,45,608,0.0,0.077595,0.126068,1.279697,0.0,1.48336,0.0,1.48336
cpu_eager,343,37,122,0.0,0.075519,0.10093,1.070322,0.0,1.246771,0.0,1.246771
cpu_eager,344,35,306,0.0,0.075347,0.117756,1.152564,0.0,1.345667,0.0,1.345667
cpu_eager,345,43,216,0.0,0.078773,0.10763,1.119632,0.0,1.306035,0.0,1.306035
cpu_eager,346,18,82,0.0,0.074774,0.086247,1.041933,0.0,1.202954,0.0,1.202954
cpu_eager,347,23,72,0.0,0.074142,0.096993,1.035732,0.0,1.2068670000000001,0.0,1.2068670000000001
cpu_eager,348,37,426,0.0,0.075276,0.113901,1.179428,0.0,1.3686049999999998,0.0,1.3686049999999998
cpu_eager,349,29,114,0.0,0.075589,0.093339,1.05748,0.0,1.226408,0.0,1.226408
cpu_eager,350,34,382,0.0,0.074565,0.112104,1.194391,0.0,1.38106,0.0,1.38106
cpu_eager,351,35,182,0.0,0.074967,0.102099,1.129424,0.0,1.30649,0.0,1.30649
cpu_eager,352,51,562,0.0,0.076777,0.127319,1.283831,0.0,1.487927,0.0,1.487927
